OrderNumber,OrderDate,Customer Name Index,Channel,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
SO - 0004350,15-02-2015,41,Distributor,AXW291,3,13,6,1125.60,6753.60,607.82
SO - 0004351,15-02-2015,41,Wholesale,GUT930,43,11,11,6304.70,69351.70,4413.29
SO - 0004352,16-02-2015,33,Distributor,NXH382,54,7,6,2298.10,13788.60,1654.63
SO - 0004353,16-02-2015,37,Distributor,AXW291,6,2,11,3979.80,43777.80,1830.71
SO - 0004354,16-02-2015,2,Wholesale,NXH382,56,2,9,2592.90,23336.10,1477.95
SO - 0004355,16-02-2015,11,Distributor,AXW291,2,2,12,670.00,8040.00,408.70
SO - 0004356,16-02-2015,20,Distributor,GUT930,38,7,5,3470.60,17353.00,2151.77
SO - 0004357,16-02-2015,43,Wholesale,AXW291,19,11,11,1152.40,12676.40,737.54
SO - 0004358,17-02-2015,2,Distributor,AXW291,5,2,5,830.80,4154.00,407.09
SO - 0004359,17-02-2015,26,Wholesale,AXW291,12,11,5,1112.20,5561.00,611.71
SO - 0004360,17-02-2015,45,Wholesale,FLR025,60,10,5,1085.40,5427.00,510.14
SO - 0004361,17-02-2015,26,Distributor,AXW291,15,1,11,2519.20,27711.20,1964.98
SO - 0004362,17-02-2015,39,Distributor,GUT930,46,7,12,1112.20,13346.40,734.05
SO - 0004363,17-02-2015,18,Wholesale,AXW291,16,7,5,1179.20,5896.00,801.86
SO - 0004364,17-02-2015,20,Wholesale,AXW291,10,7,5,1876.00,9380.00,1050.56
SO - 0004365,17-02-2015,5,Distributor,AXW291,31,5,12,2391.90,28702.80,1459.06
SO - 0004366,17-02-2015,50,Distributor,AXW291,24,1,10,1929.60,19296.00,1041.98
SO - 0004367,17-02-2015,6,Distributor,AXW291,24,7,8,1139.00,9112.00,831.47
SO - 0004368,18-02-2015,8,Distributor,NXH382,48,5,8,3839.10,30712.80,1996.33
SO - 0004369,19-02-2015,47,Export,AXW291,19,5,12,2599.60,31195.20,1143.82
SO - 0004370,19-02-2015,23,Wholesale,GUT930,36,7,8,3859.20,30873.60,2354.11
SO - 0004371,19-02-2015,2,Distributor,AXW291,13,11,10,234.50,2345.00,126.63
SO - 0004372,19-02-2015,39,Export,AXW291,28,1,10,944.70,9447.00,670.74
SO - 0004373,19-02-2015,10,Distributor,NXH382,59,7,5,3839.10,19195.50,2917.72
SO - 0004374,19-02-2015,25,Wholesale,NXH382,59,7,5,1098.80,5494.00,933.98
SO - 0004375,20-02-2015,33,Distributor,NXH382,53,2,8,1768.80,14150.40,990.53
SO - 0004376,20-02-2015,48,Export,NXH382,58,5,12,3993.20,47918.40,1717.08
SO - 0004377,20-02-2015,46,Wholesale,FLR025,60,5,10,241.20,2412.00,132.66
SO - 0004378,20-02-2015,40,Export,FLR025,62,1,12,3926.20,47114.40,2394.98
SO - 0004379,20-02-2015,26,Wholesale,GUT930,46,6,7,3350.00,23450.00,2579.50
SO - 0004380,21-02-2015,14,Wholesale,AXW291,26,2,6,1835.80,11014.80,844.47
SO - 0004381,21-02-2015,20,Export,FLR025,66,4,11,1118.90,12307.90,928.69
SO - 0004382,21-02-2015,18,Wholesale,FLR025,61,6,12,1051.90,12622.80,568.03
SO - 0004383,21-02-2015,11,Wholesale,AXW291,10,11,9,3577.80,32200.20,2003.57
SO - 0004384,21-02-2015,20,Distributor,FLR025,62,6,6,3953.00,23718.00,2450.86
SO - 0004385,21-02-2015,34,Wholesale,NXH382,59,11,12,2633.10,31597.20,1263.89
SO - 0004386,22-02-2015,39,Distributor,AXW291,1,7,9,1045.20,9406.80,418.08
SO - 0004387,22-02-2015,22,Wholesale,NXH382,55,10,5,3792.20,18961.00,2123.63
SO - 0004388,22-02-2015,23,Wholesale,AXW291,22,6,12,2653.20,31838.40,1751.11
SO - 0004389,22-02-2015,23,Wholesale,GUT930,38,14,7,1005.00,7035.00,402.00
SO - 0004390,22-02-2015,40,Export,GUT930,39,1,6,5929.50,35577.00,4209.95
SO - 0004391,23-02-2015,29,Distributor,GUT930,38,13,7,3484.00,24388.00,1637.48
SO - 0004392,23-02-2015,34,Wholesale,FLR025,61,9,12,1855.90,22270.80,1484.72
SO - 0004393,23-02-2015,6,Export,GUT930,45,2,6,5567.70,33406.20,2728.17
SO - 0004394,23-02-2015,2,Distributor,FLR025,65,13,12,998.30,11979.60,399.32
SO - 0004395,23-02-2015,17,Distributor,GUT930,32,3,12,2626.40,31516.80,1785.95
SO - 0004396,23-02-2015,14,Wholesale,AXW291,11,1,6,1112.20,6673.20,656.20
SO - 0004397,23-02-2015,6,Distributor,AXW291,19,1,10,227.80,2278.00,97.95
SO - 0004398,23-02-2015,1,Distributor,AXW291,21,7,10,3959.70,39597.00,1940.25
SO - 0004399,23-02-2015,34,Distributor,AXW291,16,5,11,6097.00,67067.00,4816.63
SO - 0004400,24-02-2015,28,Wholesale,NXH382,53,11,7,2552.70,17868.90,1506.09
SO - 0004401,24-02-2015,24,Wholesale,NXH382,54,1,9,1025.10,9225.90,512.55
SO - 0004402,24-02-2015,22,Wholesale,GUT930,44,13,9,2425.40,21828.60,1455.24
SO - 0004403,24-02-2015,6,Wholesale,NXH382,49,9,9,3892.70,35034.30,1985.28
SO - 0004404,25-02-2015,21,Wholesale,AXW291,2,2,6,3906.10,23436.60,2031.17
SO - 0004405,25-02-2015,35,Wholesale,AXW291,15,4,5,1038.50,5192.50,820.42
SO - 0004406,26-02-2015,34,Wholesale,AXW291,26,1,8,2398.60,19188.80,1295.24
SO - 0004407,26-02-2015,3,Wholesale,NXH382,56,5,8,1882.70,15061.60,1374.37
SO - 0004408,26-02-2015,44,Distributor,AXW291,3,5,7,1145.70,8019.90,836.36
SO - 0004409,26-02-2015,37,Distributor,GUT930,34,7,10,3698.40,36984.00,3069.67
SO - 0004410,26-02-2015,28,Wholesale,NXH382,59,9,9,2237.80,20140.20,1678.35
SO - 0004411,26-02-2015,29,Wholesale,GUT930,34,8,6,194.30,1165.80,102.98
SO - 0004412,26-02-2015,50,Distributor,NXH382,51,1,9,1065.30,9587.70,607.22
SO - 0004413,26-02-2015,24,Wholesale,AXW291,24,9,5,670.00,3350.00,301.50
SO - 0004414,26-02-2015,19,Distributor,AXW291,27,6,6,958.10,5748.60,450.31
SO - 0004415,27-02-2015,20,Distributor,AXW291,6,11,8,1078.70,8629.60,819.81
SO - 0004416,27-02-2015,3,Wholesale,FLR025,65,7,6,187.60,1125.60,103.18
SO - 0004417,27-02-2015,7,Wholesale,AXW291,8,9,12,3772.10,45265.20,2112.38
SO - 0004418,28-02-2015,8,Distributor,AXW291,10,9,5,743.70,3718.50,468.53
SO - 0004419,28-02-2015,48,Distributor,FLR025,62,9,5,3979.80,19899.00,3104.24
SO - 0004420,28-02-2015,44,Wholesale,AXW291,30,7,8,3966.40,31731.20,1824.54
SO - 0004421,01-03-2015,13,Distributor,AXW291,3,1,7,227.80,1594.60,113.90
SO - 0004422,01-03-2015,8,Distributor,NXH382,52,7,12,5822.30,69867.60,2736.48
SO - 0004423,01-03-2015,2,Distributor,AXW291,13,4,6,1192.60,7155.60,596.30
SO - 0004424,01-03-2015,29,Wholesale,GUT930,33,3,8,1762.10,14096.80,775.32
SO - 0004425,01-03-2015,34,Distributor,GUT930,43,9,5,904.50,4522.50,470.34
SO - 0004426,01-03-2015,35,Wholesale,FLR025,63,8,10,234.50,2345.00,159.46
SO - 0004427,01-03-2015,17,Wholesale,FLR025,61,2,10,2974.80,29748.00,1665.89
SO - 0004428,02-03-2015,15,Wholesale,NXH382,52,7,9,1051.90,9467.10,694.25
SO - 0004429,02-03-2015,45,Distributor,GUT930,35,12,6,837.50,5025.00,569.50
SO - 0004430,02-03-2015,3,Distributor,AXW291,18,3,10,5071.90,50719.00,3246.02
SO - 0004431,02-03-2015,24,Distributor,AXW291,26,1,8,6445.40,51563.20,5414.14
SO - 0004432,02-03-2015,26,Distributor,AXW291,23,11,8,850.90,6807.20,646.68
SO - 0004433,02-03-2015,33,Distributor,AXW291,14,7,8,690.10,5520.80,552.08
SO - 0004434,02-03-2015,43,Wholesale,AXW291,27,4,5,167.50,837.50,77.05
SO - 0004435,03-03-2015,9,Distributor,GUT930,44,9,11,1098.80,12086.80,571.38
SO - 0004436,03-03-2015,16,Wholesale,NXH382,51,4,10,2532.60,25326.00,1950.10
SO - 0004437,03-03-2015,37,Wholesale,AXW291,29,2,6,1085.40,6512.40,586.12
SO - 0004438,03-03-2015,25,Wholesale,AXW291,31,2,8,951.40,7611.20,704.04
SO - 0004439,04-03-2015,40,Wholesale,AXW291,30,10,11,2586.20,28448.20,1163.79
SO - 0004440,04-03-2015,3,Distributor,NXH382,52,10,12,1708.50,20502.00,1161.78
SO - 0004441,04-03-2015,4,Wholesale,GUT930,39,6,6,1078.70,6472.20,506.99
SO - 0004442,04-03-2015,50,Distributor,GUT930,45,11,7,1132.30,7926.10,758.64
SO - 0004443,04-03-2015,44,Export,AXW291,8,1,6,1983.20,11899.20,1269.25
SO - 0004444,04-03-2015,14,Wholesale,AXW291,2,1,5,1051.90,5259.50,746.85
SO - 0004445,05-03-2015,6,Distributor,AXW291,22,11,6,3979.80,23878.80,2268.49
SO - 0004446,05-03-2015,46,Wholesale,AXW291,18,1,12,1708.50,20502.00,683.40
SO - 0004447,05-03-2015,13,Wholesale,AXW291,8,14,12,1005.00,12060.00,623.10
SO - 0004448,05-03-2015,44,Wholesale,AXW291,1,7,11,3845.80,42303.80,2615.14
SO - 0004449,05-03-2015,15,Wholesale,GUT930,45,7,10,1125.60,11256.00,664.10
SO - 0004450,05-03-2015,36,Wholesale,GUT930,37,12,10,1025.10,10251.00,666.32
SO - 0004451,05-03-2015,10,Wholesale,GUT930,32,13,12,6559.30,78711.60,5444.22
SO - 0004452,06-03-2015,22,Distributor,AXW291,29,2,8,2318.20,18545.60,1043.19
SO - 0004453,06-03-2015,47,Wholesale,AXW291,7,7,5,1058.60,5293.00,656.33
SO - 0004454,06-03-2015,10,Distributor,AXW291,28,1,8,1762.10,14096.80,1356.82
SO - 0004455,06-03-2015,40,Wholesale,GUT930,46,2,5,1051.90,5259.50,452.32
SO - 0004456,06-03-2015,42,Wholesale,GUT930,45,7,12,2572.80,30873.60,1312.13
SO - 0004457,06-03-2015,17,Distributor,AXW291,3,1,6,1835.80,11014.80,1413.57
SO - 0004458,07-03-2015,15,Export,NXH382,58,7,11,1078.70,11865.70,453.05
SO - 0004459,07-03-2015,39,Wholesale,NXH382,49,1,9,3919.50,35275.50,3018.02
SO - 0004460,07-03-2015,14,Wholesale,GUT930,37,11,12,5688.30,68259.60,4152.46
SO - 0004461,07-03-2015,4,Wholesale,GUT930,39,11,11,2438.80,26826.80,1414.50
SO - 0004462,07-03-2015,6,Distributor,FLR025,66,7,11,837.50,9212.50,502.50
SO - 0004463,07-03-2015,20,Distributor,AXW291,31,1,5,6438.70,32193.50,4378.32
SO - 0004464,07-03-2015,15,Wholesale,AXW291,25,13,7,1795.60,12569.20,1400.57
SO - 0004465,07-03-2015,29,Distributor,AXW291,26,3,8,1038.50,8308.00,799.65
SO - 0004466,07-03-2015,10,Wholesale,AXW291,3,9,8,174.20,1393.60,85.36
SO - 0004467,07-03-2015,33,Wholesale,AXW291,9,1,8,5185.80,41486.40,3111.48
SO - 0004468,08-03-2015,11,Distributor,AXW291,10,13,5,1045.20,5226.00,512.15
SO - 0004469,08-03-2015,48,Wholesale,FLR025,64,7,10,3872.60,38726.00,2284.83
SO - 0004470,08-03-2015,50,Wholesale,NXH382,58,11,6,1922.90,11537.40,1115.28
SO - 0004471,08-03-2015,39,Wholesale,AXW291,17,13,12,2237.80,26853.60,939.88
SO - 0004472,09-03-2015,37,Wholesale,AXW291,11,1,7,1038.50,7269.50,477.71
SO - 0004473,09-03-2015,5,Export,AXW291,3,12,10,234.50,2345.00,171.19
SO - 0004474,09-03-2015,32,Wholesale,GUT930,38,13,11,1125.60,12381.60,742.90
SO - 0004475,09-03-2015,41,Wholesale,GUT930,45,8,6,1105.50,6633.00,696.47
SO - 0004476,09-03-2015,46,Wholesale,GUT930,46,11,9,2425.40,21828.60,2013.08
SO - 0004477,09-03-2015,50,Wholesale,AXW291,22,2,8,2338.30,18706.40,1987.56
SO - 0004478,09-03-2015,1,Wholesale,AXW291,20,13,8,750.40,6003.20,637.84
SO - 0004479,09-03-2015,37,Wholesale,NXH382,59,8,8,3765.40,30123.20,3162.94
SO - 0004480,10-03-2015,10,Wholesale,AXW291,3,7,7,3946.30,27624.10,2920.26
SO - 0004481,11-03-2015,15,Wholesale,AXW291,31,1,11,871.00,9581.00,409.37
SO - 0004482,11-03-2015,50,Wholesale,GUT930,34,11,5,743.70,3718.50,572.65
SO - 0004483,11-03-2015,27,Distributor,GUT930,43,2,12,1936.30,23235.60,1374.77
SO - 0004484,11-03-2015,44,Distributor,NXH382,56,1,11,2572.80,28300.80,1517.95
SO - 0004485,11-03-2015,7,Distributor,AXW291,12,11,5,850.90,4254.50,357.38
SO - 0004486,11-03-2015,45,Distributor,AXW291,21,1,11,2519.20,27711.20,1889.40
SO - 0004487,12-03-2015,37,Wholesale,NXH382,48,6,9,1045.20,9406.80,522.60
SO - 0004488,12-03-2015,39,Distributor,GUT930,33,10,10,5674.90,56749.00,4142.68
SO - 0004489,12-03-2015,13,Wholesale,NXH382,52,5,8,2405.30,19242.40,1635.60
SO - 0004490,12-03-2015,18,Distributor,AXW291,3,13,5,3095.40,15477.00,2631.09
SO - 0004491,12-03-2015,3,Distributor,AXW291,5,11,9,1065.30,9587.70,458.08
SO - 0004492,13-03-2015,50,Wholesale,FLR025,66,7,7,2907.80,20354.60,2239.01
SO - 0004493,13-03-2015,16,Wholesale,NXH382,58,5,10,1045.20,10452.00,742.09
SO - 0004494,13-03-2015,13,Wholesale,AXW291,19,9,6,2619.70,15718.20,1100.27
SO - 0004495,13-03-2015,19,Export,AXW291,8,5,12,1299.80,15597.60,714.89
SO - 0004496,14-03-2015,10,Distributor,FLR025,61,5,7,254.60,1782.20,208.77
SO - 0004497,14-03-2015,22,Distributor,AXW291,18,1,7,884.40,6190.80,689.83
SO - 0004498,14-03-2015,2,Wholesale,NXH382,58,2,8,268.00,2144.00,144.72
SO - 0004499,14-03-2015,48,Export,AXW291,19,2,9,234.50,2110.50,175.88
SO - 0004500,14-03-2015,46,Export,NXH382,48,7,7,1018.40,7128.80,580.49
SO - 0004501,14-03-2015,2,Distributor,AXW291,13,9,5,3329.90,16649.50,2097.84
SO - 0004502,15-03-2015,9,Wholesale,AXW291,28,5,11,3986.50,43851.50,2391.90
SO - 0004503,15-03-2015,45,Distributor,FLR025,62,7,8,2519.20,20153.60,1058.06
SO - 0004504,15-03-2015,12,Wholesale,AXW291,13,2,11,5768.70,63455.70,4095.78
SO - 0004505,15-03-2015,49,Distributor,NXH382,52,7,7,3865.90,27061.30,2319.54
SO - 0004506,15-03-2015,1,Wholesale,NXH382,56,5,10,3872.60,38726.00,2207.38
SO - 0004507,15-03-2015,39,Wholesale,AXW291,23,11,8,3852.50,30820.00,2041.83
SO - 0004508,15-03-2015,33,Distributor,AXW291,19,5,5,6545.90,32729.50,2749.28
SO - 0004509,16-03-2015,39,Wholesale,NXH382,51,1,6,3510.80,21064.80,1790.51
SO - 0004510,16-03-2015,36,Wholesale,AXW291,19,2,10,2512.50,25125.00,1331.63
SO - 0004511,16-03-2015,35,Distributor,AXW291,5,2,10,1239.50,12395.00,942.02
SO - 0004512,16-03-2015,12,Wholesale,AXW291,8,7,5,2010.00,10050.00,944.70
SO - 0004513,16-03-2015,15,Wholesale,AXW291,26,2,7,201.00,1407.00,114.57
SO - 0004514,17-03-2015,26,Wholesale,AXW291,20,2,11,2539.30,27932.30,2082.23
SO - 0004515,17-03-2015,20,Export,GUT930,38,7,11,201.00,2211.00,88.44
SO - 0004516,17-03-2015,2,Wholesale,AXW291,14,11,8,3926.20,31409.60,3219.48
SO - 0004517,17-03-2015,26,Distributor,GUT930,44,5,7,2385.20,16696.40,1168.75
SO - 0004518,18-03-2015,17,Distributor,AXW291,14,5,6,2793.90,16763.40,1369.01
SO - 0004519,18-03-2015,39,Wholesale,FLR025,63,5,6,254.60,1527.60,124.75
SO - 0004520,19-03-2015,33,Distributor,FLR025,66,13,7,3892.70,27248.90,3230.94
SO - 0004521,19-03-2015,30,Distributor,NXH382,51,1,8,3872.60,30980.80,2323.56
SO - 0004522,19-03-2015,22,Wholesale,NXH382,49,4,12,1051.90,12622.80,452.32
SO - 0004523,19-03-2015,29,Distributor,AXW291,7,5,10,227.80,2278.00,104.79
SO - 0004524,19-03-2015,11,Distributor,GUT930,42,4,10,3879.30,38793.00,2793.10
SO - 0004525,20-03-2015,14,Distributor,NXH382,54,1,5,1105.50,5527.50,818.07
SO - 0004526,20-03-2015,25,Export,FLR025,60,7,5,3993.20,19966.00,2635.51
SO - 0004527,20-03-2015,15,Wholesale,FLR025,66,9,11,187.60,2063.60,129.44
SO - 0004528,20-03-2015,24,Wholesale,AXW291,2,11,11,6358.30,69941.30,3942.15
SO - 0004529,20-03-2015,19,Distributor,NXH382,48,7,11,4006.60,44072.60,2844.69
SO - 0004530,20-03-2015,44,Wholesale,AXW291,12,5,10,4006.60,40066.00,1762.90
SO - 0004531,20-03-2015,25,Distributor,AXW291,19,5,6,3932.90,23597.40,2084.44
SO - 0004532,21-03-2015,10,Distributor,FLR025,66,8,6,6043.40,36260.40,2961.27
SO - 0004533,21-03-2015,31,Wholesale,GUT930,35,1,8,1112.20,8897.60,856.39
SO - 0004534,21-03-2015,6,Wholesale,NXH382,58,9,10,1969.80,19698.00,827.32
SO - 0004535,21-03-2015,5,Wholesale,AXW291,9,1,12,2606.30,31275.60,1798.35
SO - 0004536,22-03-2015,41,Wholesale,NXH382,60,11,10,268.00,2680.00,187.60
SO - 0004537,22-03-2015,41,Wholesale,NXH382,48,2,9,1902.80,17125.20,818.20
SO - 0004538,22-03-2015,34,Wholesale,NXH382,51,1,9,2559.40,23034.60,1791.58
SO - 0004539,22-03-2015,11,Export,AXW291,18,5,10,3879.30,38793.00,3103.44
SO - 0004540,22-03-2015,15,Distributor,AXW291,24,7,7,3859.20,27014.40,3241.73
SO - 0004541,22-03-2015,4,Wholesale,AXW291,3,1,10,1782.20,17822.00,1069.32
SO - 0004542,22-03-2015,1,Wholesale,FLR025,66,7,5,268.00,1340.00,112.56
SO - 0004543,23-03-2015,3,Wholesale,AXW291,21,7,12,6184.10,74209.20,3772.30
SO - 0004544,23-03-2015,16,Export,AXW291,17,1,9,2412.00,21708.00,1206.00
SO - 0004545,23-03-2015,23,Wholesale,AXW291,25,9,12,891.10,10693.20,695.06
SO - 0004546,23-03-2015,41,Distributor,AXW291,13,7,10,2586.20,25862.00,1655.17
SO - 0004547,23-03-2015,9,Wholesale,AXW291,29,7,10,1139.00,11390.00,569.50
SO - 0004548,23-03-2015,33,Export,AXW291,3,7,6,6277.90,37667.40,4143.41
SO - 0004549,24-03-2015,36,Export,FLR025,64,11,8,4013.30,32106.40,2046.78
SO - 0004550,24-03-2015,26,Wholesale,FLR025,61,2,10,5045.10,50451.00,2573.00
SO - 0004551,25-03-2015,42,Wholesale,AXW291,3,1,9,1775.50,15979.50,1154.08
SO - 0004552,25-03-2015,38,Wholesale,AXW291,12,11,6,1742.00,10452.00,923.26
SO - 0004553,25-03-2015,26,Wholesale,NXH382,60,11,6,194.30,1165.80,83.55
SO - 0004554,25-03-2015,2,Wholesale,AXW291,15,6,6,1728.60,10371.60,1452.02
SO - 0004555,26-03-2015,38,Distributor,FLR025,64,5,12,167.50,2010.00,68.68
SO - 0004556,26-03-2015,37,Distributor,AXW291,1,2,10,1876.00,18760.00,1013.04
SO - 0004557,26-03-2015,31,Distributor,NXH382,52,2,8,6324.80,50598.40,5059.84
SO - 0004558,27-03-2015,44,Wholesale,GUT930,43,4,8,3872.60,30980.80,1742.67
SO - 0004559,27-03-2015,5,Wholesale,NXH382,51,2,5,850.90,4254.50,365.89
SO - 0004560,27-03-2015,22,Wholesale,NXH382,47,7,6,2479.00,14874.00,2032.78
SO - 0004561,27-03-2015,27,Distributor,GUT930,46,7,11,5313.10,58444.10,2550.29
SO - 0004562,28-03-2015,13,Export,AXW291,16,5,11,2606.30,28669.30,1277.09
SO - 0004563,28-03-2015,32,Distributor,AXW291,19,2,7,5339.90,37379.30,2189.36
SO - 0004564,28-03-2015,43,Wholesale,GUT930,34,13,11,1983.20,21815.20,1348.58
SO - 0004565,29-03-2015,19,Distributor,AXW291,26,10,6,1715.20,10291.20,1183.49
SO - 0004566,29-03-2015,40,Export,AXW291,2,7,10,3839.10,38391.00,2149.90
SO - 0004567,29-03-2015,12,Export,GUT930,34,9,11,3993.20,43925.20,2276.12
SO - 0004568,30-03-2015,38,Distributor,AXW291,22,11,9,1172.50,10552.50,738.68
SO - 0004569,30-03-2015,42,Wholesale,NXH382,51,11,7,2767.10,19369.70,1632.59
SO - 0004570,30-03-2015,6,Wholesale,GUT930,43,2,5,871.00,4355.00,374.53
SO - 0004571,30-03-2015,25,Distributor,GUT930,40,2,6,2412.00,14472.00,1326.60
SO - 0004572,30-03-2015,31,Wholesale,AXW291,29,2,8,2385.20,19081.60,1526.53
SO - 0004573,30-03-2015,30,Distributor,GUT930,38,13,6,2391.90,14351.40,1889.60
SO - 0004574,31-03-2015,48,Distributor,AXW291,14,11,10,2324.90,23249.00,1371.69
SO - 0004575,31-03-2015,38,Export,AXW291,19,2,5,3691.70,18458.50,2399.61
SO - 0004576,31-03-2015,36,Export,GUT930,33,7,7,904.50,6331.50,506.52
SO - 0004577,31-03-2015,46,Wholesale,AXW291,20,7,7,1715.20,12006.40,943.36
SO - 0004578,01-04-2015,21,Export,GUT930,32,7,7,938.00,6566.00,515.90
SO - 0004579,01-04-2015,15,Export,AXW291,25,11,10,4006.60,40066.00,1762.90
SO - 0004580,01-04-2015,26,Export,NXH382,58,7,5,1232.80,6164.00,628.73
SO - 0004581,01-04-2015,21,Distributor,GUT930,32,9,8,3892.70,31141.60,2296.69
SO - 0004582,01-04-2015,23,Distributor,AXW291,13,11,9,2485.70,22371.30,1093.71
SO - 0004583,01-04-2015,40,Export,GUT930,41,5,6,1742.00,10452.00,1341.34
SO - 0004584,01-04-2015,18,Wholesale,AXW291,7,7,10,187.60,1876.00,91.92
SO - 0004585,01-04-2015,8,Wholesale,AXW291,6,7,6,3966.40,23798.40,2141.86
SO - 0004586,01-04-2015,35,Wholesale,NXH382,54,11,8,1072.00,8576.00,578.88
SO - 0004587,02-04-2015,49,Wholesale,NXH382,54,2,8,877.70,7021.60,675.83
SO - 0004588,02-04-2015,16,Wholesale,GUT930,44,8,8,5701.70,45613.60,3763.12
SO - 0004589,02-04-2015,49,Export,AXW291,14,8,12,1708.50,20502.00,973.85
SO - 0004590,03-04-2015,20,Distributor,AXW291,20,1,10,871.00,8710.00,688.09
SO - 0004591,03-04-2015,33,Distributor,AXW291,6,5,7,6030.00,42210.00,2894.40
SO - 0004592,03-04-2015,17,Wholesale,AXW291,1,2,12,5406.90,64882.80,3676.69
SO - 0004593,03-04-2015,6,Wholesale,AXW291,4,11,5,783.90,3919.50,352.76
SO - 0004594,03-04-2015,36,Wholesale,AXW291,21,2,9,268.00,2412.00,147.40
SO - 0004595,03-04-2015,42,Distributor,AXW291,30,1,5,1936.30,9681.50,793.88
SO - 0004596,03-04-2015,32,Distributor,NXH382,54,7,5,1078.70,5393.50,690.37
SO - 0004597,04-04-2015,47,Wholesale,AXW291,12,1,9,3785.50,34069.50,1968.46
SO - 0004598,04-04-2015,14,Wholesale,GUT930,43,13,6,2599.60,15597.60,1637.75
SO - 0004599,04-04-2015,12,Distributor,NXH382,48,1,10,2003.30,20033.00,1522.51
SO - 0004600,04-04-2015,18,Wholesale,GUT930,34,5,10,3979.80,39798.00,2666.47
SO - 0004601,04-04-2015,7,Wholesale,NXH382,55,2,8,1125.60,9004.80,574.06
SO - 0004602,04-04-2015,44,Wholesale,NXH382,50,5,5,2726.90,13634.50,1417.99
SO - 0004603,04-04-2015,2,Wholesale,GUT930,34,9,11,1943.00,21373.00,1379.53
SO - 0004604,05-04-2015,21,Wholesale,AXW291,3,9,5,1078.70,5393.50,776.66
SO - 0004605,05-04-2015,49,Distributor,NXH382,49,7,5,5252.80,26264.00,3887.07
SO - 0004606,05-04-2015,29,Export,NXH382,48,7,9,6304.70,56742.30,4161.10
SO - 0004607,05-04-2015,33,Distributor,GUT930,41,5,7,2331.60,16321.20,1492.22
SO - 0004608,05-04-2015,35,Distributor,NXH382,57,7,9,1085.40,9768.60,922.59
SO - 0004609,06-04-2015,44,Distributor,AXW291,6,4,7,3095.40,21667.80,2104.87
SO - 0004610,06-04-2015,43,Export,AXW291,29,10,7,3852.50,26967.50,3197.58
SO - 0004611,06-04-2015,8,Distributor,GUT930,36,11,10,1058.60,10586.00,772.78
SO - 0004612,06-04-2015,21,Wholesale,AXW291,17,5,12,2619.70,31436.40,2069.56
SO - 0004613,06-04-2015,14,Export,GUT930,42,7,10,3973.10,39731.00,1668.70
SO - 0004614,06-04-2015,12,Wholesale,NXH382,56,7,12,187.60,2251.20,150.08
SO - 0004615,06-04-2015,29,Distributor,AXW291,25,11,8,3731.90,29855.20,2351.10
SO - 0004616,06-04-2015,38,Distributor,NXH382,52,1,6,1092.10,6552.60,469.60
SO - 0004617,06-04-2015,34,Wholesale,AXW291,15,5,9,3986.50,35878.50,3308.80
SO - 0004618,07-04-2015,49,Wholesale,NXH382,50,9,8,6331.50,50652.00,4748.63
SO - 0004619,07-04-2015,34,Wholesale,NXH382,55,12,5,5145.60,25728.00,3190.27
SO - 0004620,07-04-2015,38,Export,AXW291,7,11,11,3839.10,42230.10,2188.29
SO - 0004621,07-04-2015,2,Distributor,GUT930,32,11,12,2532.60,30391.20,1595.54
SO - 0004622,07-04-2015,6,Wholesale,GUT930,41,2,11,2318.20,25500.20,1947.29
SO - 0004623,07-04-2015,44,Distributor,GUT930,40,7,5,924.60,4623.00,564.01
SO - 0004624,08-04-2015,24,Wholesale,FLR025,63,7,8,1721.90,13775.20,688.76
SO - 0004625,08-04-2015,11,Distributor,NXH382,50,10,7,180.90,1266.30,90.45
SO - 0004626,08-04-2015,39,Wholesale,NXH382,47,2,8,1011.70,8093.60,455.27
SO - 0004627,08-04-2015,23,Wholesale,FLR025,61,2,8,1005.00,8040.00,542.70
SO - 0004628,08-04-2015,18,Wholesale,AXW291,27,11,10,1192.60,11926.00,918.30
SO - 0004629,09-04-2015,49,Wholesale,AXW291,20,2,11,810.70,8917.70,680.99
SO - 0004630,09-04-2015,29,Distributor,GUT930,34,2,7,5386.80,37707.60,3878.50
SO - 0004631,09-04-2015,2,Export,AXW291,28,2,5,1815.70,9078.50,1034.95
SO - 0004632,09-04-2015,44,Wholesale,AXW291,31,7,10,1051.90,10519.00,578.55
SO - 0004633,09-04-2015,46,Wholesale,NXH382,52,5,9,1092.10,9828.90,611.58
SO - 0004634,09-04-2015,26,Distributor,AXW291,24,4,12,1936.30,23235.60,1568.40
SO - 0004635,10-04-2015,12,Wholesale,AXW291,10,11,11,3437.10,37808.10,2887.16
SO - 0004636,10-04-2015,23,Wholesale,GUT930,47,11,7,3182.50,22277.50,1782.20
SO - 0004637,10-04-2015,43,Export,FLR025,65,2,8,3792.20,30337.60,2237.40
SO - 0004638,10-04-2015,45,Distributor,AXW291,21,13,12,1132.30,13587.60,792.61
SO - 0004639,10-04-2015,34,Export,FLR025,65,11,8,904.50,7236.00,768.83
SO - 0004640,11-04-2015,29,Wholesale,AXW291,26,7,10,3986.50,39865.00,2511.50
SO - 0004641,11-04-2015,22,Wholesale,GUT930,43,2,10,1051.90,10519.00,662.70
